Name : nobita đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-06-09 00:07:19
Name : nobita đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-06-09 00:07:20
Name : nobita đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-06-09 00:07:21
Name : nobita đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-09 00:07:23
Name : nobita đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 00:07:24
Name : batbaiiiii đã tách vật phẩm || Vật phẩm tách: 16 || Số lượng vật phẩm ban đầu 149 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 148 và 1|| Thời gian tách : 2022-06-09 06:05:19
Name : dunglegend đã tách vật phẩm || Vật phẩm tách: 733 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-09 06:13:58
Name : girl2k1 đã tách vật phẩm || Vật phẩm tách: 539 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-09 07:15:00
Name : girl2k1 đã tách vật phẩm || Vật phẩm tách: 539 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 07:15:05
Name : girl2k1 đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-09 07:15:14
Name : girl2k1 đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 07:15:23
Name : betieu đã tách vật phẩm || Vật phẩm tách: 539 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-09 07:20:16
Name : betieu đã tách vật phẩm || Vật phẩm tách: 539 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 07:20:21
